#CALIBRATED CUTOFFS FILE - BEST HITS
COG0012	510.0	1.0	0.45454545454545453
COG0016	470.0	1.0	1.0
COG0018	590.0	1.0	1.0
COG0048	180.0	1.0	1.0
COG0049	240.0	1.0	1.0
COG0052	400.0	1.0	1.0
COG0080	260.0	1.0	1.0
COG0081	330.0	1.0	1.0
COG0085	1970.0	1.0	0.45454545454545453
COG0086	870.0	1.0	0.8333333333333334
COG0087	320.0	1.0	1.0
COG0088	310.0	1.0	1.0
COG0090	410.0	1.0	1.0
COG0091	190.0	1.0	1.0
COG0092	400.0	1.0	1.0
COG0093	210.0	1.0	1.0
COG0094	280.0	1.0	1.0
COG0096	170.0	1.0	1.0
COG0097	250.0	1.0	1.0
COG0098	260.0	1.0	1.0
COG0099	180.0	1.0	1.0
COG0100	210.0	1.0	1.0
COG0102	210.0	1.0	1.0
COG0103	230.0	1.0	1.0
COG0124	460.0	1.0	0.5
COG0172	560.0	1.0	0.7142857142857143
COG0184	130.0	1.0	1.0
COG0185	170.0	1.0	1.0
COG0186	140.0	1.0	1.0
COG0197	220.0	1.0	1.0
COG0200	180.0	1.0	1.0
COG0201	540.0	1.0	1.0
COG0202	440.0	1.0	1.0
COG0215	580.0	1.0	0.8333333333333334
COG0256	180.0	1.0	1.0
COG0495	280.0	0.625	0.2777777777777778
COG0522	290.0	1.0	1.0
COG0525	560.0	0.8333333333333334	0.2777777777777778
COG0533	610.0	1.0	1.0
COG0541	570.0	1.0	0.38461538461538464
COG0552	350.0	1.0	0.38461538461538464
